id,nama_tempat,kategori,kabupaten,deskripsi,rating,harga_tiket_wni,harga_tiket_wna,jam_buka,aktivitas,latitude,longitude
1,Pantai Palasari,Pantai,Jembrana,"Pantai tersembunyi di dekat Waduk Palasari yang masih sangat sepi dan alami. Airnya tenang dengan pasir hitam bersih, dikelilingi pohon kelapa yang rindang. Belum banyak wisatawan yang mengetahui keberadaan pantai ini.",4.1,5000,10000,06.00-18.00,"Bersantai, berfoto, menikmati alam",-8.4021,114.6234
2,Air Terjun Tiu Kelep Jembrana,Alam,Jembrana,Air terjun kecil yang tersembunyi di hutan Jembrana dengan aliran air yang jernih dan segar. Jarang dikunjungi wisatawan sehingga suasananya masih sangat alami dan tenang.,4.2,10000,15000,07.00-17.00,"Trekking, berenang, berfoto",-8.3912,114.7105
3,Pura Rambut Siwi,Budaya,Jembrana,Pura Hindu sakral yang berdiri di atas tebing menghadap Selat Bali. Dipercaya menyimpan rambut suci Dang Hyang Nirartha. Pemandangan laut dari tebing sangat indah dan suasananya sangat spiritual.,4.5,20000,30000,07.00-17.00,"Wisata religi, berfoto, menikmati pemandangan laut",-8.5212,114.7042
4,Pantai Medewi,Pantai,Jembrana,"Pantai berpasir hitam yang sangat populer di kalangan peselancar internasional karena ombaknya yang panjang dan konsisten. Suasananya masih sangat alami dan sepi, jauh dari hiruk pikuk wisata Bali selatan.",4.4,0,0,06.00-18.00,"Surfing, bersantai, sunset viewing",-8.3836,114.8341
5,Taman Nasional Bali Barat,Alam,Jembrana,"Satu-satunya taman nasional di Bali yang menjadi habitat terakhir burung Jalak Bali yang hampir punah. Mencakup hutan tropis, savana, dan perairan laut yang kaya. Tersedia jalur trekking dan diving spektakuler.",4.4,25000,50000,07.00-17.00,"Trekking hutan, diving, snorkeling, bird watching",-8.1503,114.55
6,Pantai Banyupoh,Pantai,Buleleng,"Pantai hitam yang sangat sepi di Buleleng barat, jauh dari keramaian. Ombaknya tenang cocok untuk snorkeling. Masih sangat alami dengan suasana lokal yang autentik dan belum banyak wisatawan.",4.0,0,0,06.00-18.00,"Snorkeling, bersantai, menikmati suasana lokal",-8.1445,114.5891
7,Pura Dalem Jagaraga,Budaya,Buleleng,Pura kuno di Buleleng dengan relief ukiran batu yang sangat unik menggambarkan kehidupan masa kolonial Belanda termasuk gambar mobil dan pesawat terbang. Merupakan daya tarik seni ukir yang sangat berbeda dari pura lainnya di Bali.,4.3,20000,30000,08.00-17.00,"Wisata budaya, melihat ukiran relief unik, wisata sejarah",-8.1186,115.1697
8,Pura Beji Sangsit,Budaya,Buleleng,"Pura subak dengan ukiran batu pasir yang sangat halus dan rumit, dianggap sebagai salah satu karya seni ukir terbaik di Bali. Didedikasikan untuk Dewi Sri sebagai lambang kemakmuran dan kesuburan.",4.4,20000,30000,08.00-17.00,"Wisata budaya, melihat ukiran seni, berfoto",-8.1039,115.1282
9,Danau Tamblingan,Alam,Buleleng,"Danau suci yang dikelilingi hutan tropis lebat dan beberapa pura kuno di tepinya. Dapat dijelajahi dengan perahu tradisional. Suasananya sangat tenang, spiritual, dan magis. Belum terlalu ramai dikunjungi.",4.6,20000,30000,07.00-17.00,"Naik perahu, trekking hutan, wisata religi, berfoto, bird watching",-8.2449,115.1013
10,Air Terjun Aling Aling,Alam,Buleleng,"Kompleks air terjun bertingkat yang viral di media sosial karena menawarkan pengalaman natural water slide di bebatuan alami. Sangat unik dan berbeda dari air terjun biasa, sangat diminati wisatawan petualangan.",4.6,20000,30000,08.00-17.00,"Natural water slide, berenang, trekking, berfoto",-8.1815,115.0685
